Methods Information:
21.02.2024 19:05:16
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to   10.00 BUFFER A     1.00
02    10.00 to   20.00   0-57%B     1.00
03    20.00 to   40.00 57-100%B     0.10
--------------------------------------------------
--------------------------------------------------
21.02.2024 19:39:24
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   12.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
21.02.2024 19:50:45
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   12.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:		Events:		
12.150	0.5531				
12.167	0.5532				
12.183	0.5531				
12.200	0.5530				
12.217	0.5531				
12.233	0.5533				
12.250	0.5535				
12.267	0.5536				
12.283	0.5535				
12.300	0.5534				
12.317	0.5533				
12.333	0.5534				
12.350	0.5535				
12.367	0.5536				
12.383	0.5537				
12.400	0.5537				
12.417	0.5538				
12.433	0.5539				
12.450	0.5538				
12.467	0.5537				
12.483	0.5538				
12.500	0.5539				
12.517	0.5539				
12.533	0.5539				
12.550	0.5540				
12.567	0.5540				
12.583	0.5539				
12.600	0.5540				
12.617	0.5541				
12.633	0.5540				
12.650	0.5538				
12.667	0.5540				
12.683	0.5544				
12.700	0.5543				
12.717	0.5541				
12.733	0.5541				
12.750	0.5542				
12.767	0.5543				
12.783	0.5543				
12.800	0.5542				
12.817	0.5541				
12.833	0.5542				
12.850	0.5544				
12.867	0.5544				
12.883	0.5542				
12.900	0.5543				
12.917	0.5544				
12.933	0.5545				
12.950	0.5546				
12.967	0.5547				
12.983	0.5546				
13.000	0.5545				
13.017	0.5546				
13.033	0.5546				
13.050	0.5545				
13.067	0.5546				
13.083	0.5548				
13.100	0.5547				
13.117	0.5546				
13.133	0.5546				
13.150	0.5548				
13.167	0.5549				
13.183	0.5550				
13.200	0.5550				
13.217	0.5550				
13.233	0.5550				
13.250	0.5552				
13.267	0.5552				
13.283	0.5552				
13.300	0.5551				
13.317	0.5551				
13.333	0.5550				
13.350	0.5550				
13.367	0.5551				
13.383	0.5551				
13.400	0.5553				
13.417	0.5553				
13.433	0.5553				
13.450	0.5553				
13.467	0.5552				
13.483	0.5553				
13.500	0.5553				
13.517	0.5554				
13.533	0.5555				
13.550	0.5556				
13.567	0.5555				
13.583	0.5554				
13.600	0.5554				
13.617	0.5555				
13.633	0.5555				
13.650	0.5556				
13.667	0.5557				
13.683	0.5557				
13.700	0.5557				
13.717	0.5556				
13.733	0.5556				
13.750	0.5556				
13.767	0.5555				
13.783	0.5556				
13.800	0.5557				
13.817	0.5556				
13.833	0.5554				
13.850	0.5556				
13.867	0.5556				
13.883	0.5558				
13.900	0.5559				
13.917	0.5560				
13.933	0.5559				
13.950	0.5560				
13.967	0.5561				
13.983	0.5558				
14.000	0.5558				
14.017	0.5559				
14.033	0.5559				
14.050	0.5559				
14.067	0.5560				
14.083	0.5562				
14.100	0.5562				
14.117	0.5561				
14.133	0.5561				
14.150	0.5562				
14.167	0.5561				
14.183	0.5561				
14.200	0.5560				
14.217	0.5560				
14.233	0.5562				
14.250	0.5563				
14.267	0.5562				
14.283	0.5563				
14.300	0.5563				
14.317	0.5564				
14.333	0.5564				
14.350	0.5565				
14.367	0.5565				
14.383	0.5565				
14.400	0.5565				
14.417	0.5567				
14.433	0.5566				
14.450	0.5567				
14.467	0.5565				
14.483	0.5565				
14.500	0.5566				
14.517	0.5566				
14.533	0.5565				
14.550	0.5565				
14.567	0.5568				
14.583	0.5569				
14.600	0.5569				
14.617	0.5568				
14.633	0.5566				
14.650	0.5567				
14.667	0.5568				
14.683	0.5570				
14.700	0.5570				
14.717	0.5570				
14.733	0.5569				
14.750	0.5570				
14.767	0.5570				
14.783	0.5568				
14.800	0.5567				
14.817	0.5567				
14.833	0.5570				
14.850	0.5572				
14.867	0.5570				
14.883	0.5571				
14.900	0.5570				
14.917	0.5570				
14.933	0.5569				
14.950	0.5569				
14.967	0.5570				
14.983	0.5571				
15.000	0.5572				
15.017	0.5571				
15.033	0.5572				
15.050	0.5573				
15.067	0.5573				
15.083	0.5574				
15.100	0.5572				
15.117	0.5572				
15.133	0.5572				
15.150	0.5573				
15.167	0.5574				
15.183	0.5573				
15.200	0.5574				
15.217	0.5573				
15.233	0.5574				
15.250	0.5574				
15.267	0.5574				
15.283	0.5574				
15.300	0.5574				
15.317	0.5574				
15.333	0.5574				
15.350	0.5574				
15.367	0.5574				
15.383	0.5574				
15.400	0.5576				
15.417	0.5578				
15.433	0.5576				
15.450	0.5573				
15.467	0.5573				
15.483	0.5575				
15.500	0.5576				
15.517	0.5575				
15.533	0.5577				
15.550	0.5577				
15.567	0.5575				
15.583	0.5577				
15.600	0.5578				
15.617	0.5578				
15.633	0.5576				
15.650	0.5577				
15.667	0.5578				
15.683	0.5578				
15.700	0.5577				
15.717	0.5577				
15.733	0.5577				
15.750	0.5579				
15.767	0.5580				
15.783	0.5578				
15.800	0.5578				
15.817	0.5579				
15.833	0.5578				
15.850	0.5578				
15.867	0.5581				
15.883	0.5580				
15.900	0.5580				
15.917	0.5579				
15.933	0.5579				
15.950	0.5581				
15.967	0.5580				
15.983	0.5580				
16.000	0.5581				
16.017	0.5581				
16.033	0.5580				
16.050	0.5582				
16.067	0.5582				
16.083	0.5582				
16.100	0.5582				
16.117	0.5582				
16.133	0.5582				
16.150	0.5583				
16.167	0.5583				
16.183	0.5581				
16.200	0.5581				
16.217	0.5582				
16.233	0.5584				
16.250	0.5584				
16.267	0.5584				
16.283	0.5585				
16.300	0.5584				
16.317	0.5584				
16.333	0.5585				
16.350	0.5585				
16.367	0.5585				
16.383	0.5586				
16.400	0.5585				
16.417	0.5585				
16.433	0.5584				
16.450	0.5586				
16.467	0.5586				
16.483	0.5585				
16.500	0.5585				
16.517	0.5583				
16.533	0.5584				
16.550	0.5586				
16.567	0.5587				
16.583	0.5587				
16.600	0.5587				
16.617	0.5587				
16.633	0.5588				
16.650	0.5588				
16.667	0.5588				
16.683	0.5588				
16.700	0.5587				
16.717	0.5587				
16.733	0.5589				
16.750	0.5589				
16.767	0.5588				
16.783	0.5588				
16.800	0.5588				
16.817	0.5589				
16.833	0.5587				
16.850	0.5587				
16.867	0.5589				
16.883	0.5590				
16.900	0.5587				
16.917	0.5587				
16.933	0.5588				
16.950	0.5590				
16.967	0.5590				
16.983	0.5589				
17.000	0.5588				
17.017	0.5587				
17.033	0.5589				
17.050	0.5590				
17.067	0.5592				
17.083	0.5592				
17.100	0.5592				
17.117	0.5592				
17.133	0.5593				
17.150	0.5592				
17.167	0.5593				
17.183	0.5592				
17.200	0.5593				
17.217	0.5596				
17.233	0.5596				
17.250	0.5594				
17.267	0.5592				
17.283	0.5593				
17.300	0.5596				
17.317	0.5597				
17.333	0.5595				
17.350	0.5594				
17.367	0.5594				
17.383	0.5594				
17.400	0.5593				
17.417	0.5594				
17.433	0.5594				
17.450	0.5593				
17.467	0.5593				
17.483	0.5593				
17.500	0.5595				
17.517	0.5594				
17.533	0.5593				
17.550	0.5593				
17.567	0.5592				
17.583	0.5593				
17.600	0.5592				
17.617	0.5595				
17.633	0.5596				
17.650	0.5595				
17.667	0.5593				
17.683	0.5595				
17.700	0.5596				
17.717	0.5596				
17.733	0.5597				
17.750	0.5596				
17.767	0.5597				
17.783	0.5597				
17.800	0.5597				
17.817	0.5596				
17.833	0.5596				
17.850	0.5597				
17.867	0.5598				
17.883	0.5599				
17.900	0.5598				
17.917	0.5596				
17.933	0.5597				
17.950	0.5597				
17.967	0.5597				
17.983	0.5597				
18.000	0.5596				
18.017	0.5597				
18.033	0.5599				
18.050	0.5598				
18.067	0.5596				
18.083	0.5598				
